CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
ASD_meta-analysis_casevsCN,L_bankssts,-0.07,,,,976,1060,,0.126
ASD_meta-analysis_casevsCN,L_caudalanteriorcingulate,0.03,,,,974,1056,,0.46299999999999997
ASD_meta-analysis_casevsCN,L_caudalmiddlefrontal,0.06,,,,977,1059,,0.147
ASD_meta-analysis_casevsCN,L_cuneus,-0.06,,,,977,1057,,0.177
ASD_meta-analysis_casevsCN,L_entorhinal,-0.24,,,,973,1058,,0.0
ASD_meta-analysis_casevsCN,L_fusiform,-0.19,,,,975,1059,,0.0
ASD_meta-analysis_casevsCN,L_inferiorparietal,-0.05,,,,977,1060,,0.298
ASD_meta-analysis_casevsCN,L_inferiortemporal,-0.16,,,,976,1059,,0.0
ASD_meta-analysis_casevsCN,L_isthmuscingulate,0.05,,,,976,1056,,0.294
ASD_meta-analysis_casevsCN,L_lateraloccipital,-0.02,,,,975,1056,,0.083
ASD_meta-analysis_casevsCN,L_lateralorbitofrontal,0.0,,,,977,1057,,0.9470000000000001
ASD_meta-analysis_casevsCN,L_lingual,-0.02,,,,976,1058,,0.147
ASD_meta-analysis_casevsCN,L_medialorbitofrontal,0.08,,,,977,1058,,0.063
ASD_meta-analysis_casevsCN,L_middletemporal,-0.12,,,,976,1060,,0.009000000000000001
ASD_meta-analysis_casevsCN,L_parahippocampal,-0.11,,,,974,1059,,0.019
ASD_meta-analysis_casevsCN,L_paracentral,-0.05,,,,977,1056,,0.233
ASD_meta-analysis_casevsCN,L_parsopercularis,-0.03,,,,976,1057,,0.489
ASD_meta-analysis_casevsCN,L_parsorbitalis,0.04,,,,977,1058,,0.35200000000000004
ASD_meta-analysis_casevsCN,L_parstriangularis,0.05,,,,975,1056,,0.305
ASD_meta-analysis_casevsCN,L_pericalcarine,-0.01,,,,977,1057,,0.083
ASD_meta-analysis_casevsCN,L_postcentral,-0.07,,,,973,1058,,0.10800000000000001
ASD_meta-analysis_casevsCN,L_posteriorcingulate,0.05,,,,973,1060,,0.313
ASD_meta-analysis_casevsCN,L_precentral,0.09,,,,974,1058,,0.05
ASD_meta-analysis_casevsCN,L_precuneus,-0.08,,,,977,1060,,0.08900000000000001
ASD_meta-analysis_casevsCN,L_rostralanteriorcingulate,0.01,,,,976,1056,,0.777
ASD_meta-analysis_casevsCN,L_rostralmiddlefrontal,0.11,,,,976,1060,,0.013000000000000001
ASD_meta-analysis_casevsCN,L_superiorfrontal,0.11,,,,977,1059,,0.016
ASD_meta-analysis_casevsCN,L_superiorparietal,-0.09,,,,976,1058,,0.057
ASD_meta-analysis_casevsCN,L_superiortemporal,-0.15,,,,975,1058,,0.001
ASD_meta-analysis_casevsCN,L_supramarginal,-0.09,,,,976,1056,,0.036000000000000004
ASD_meta-analysis_casevsCN,L_frontalpole,0.04,,,,975,1059,,0.37200000000000005
ASD_meta-analysis_casevsCN,L_temporalpole,-0.14,,,,972,1057,,0.001
ASD_meta-analysis_casevsCN,L_transversetemporal,-0.24,,,,977,1059,,0.0
ASD_meta-analysis_casevsCN,L_insula,-0.09,,,,976,1058,,0.045
ASD_meta-analysis_casevsCN,R_bankssts,-0.07,,,,976,1060,,0.126
ASD_meta-analysis_casevsCN,R_caudalanteriorcingulate,0.03,,,,974,1056,,0.46299999999999997
ASD_meta-analysis_casevsCN,R_caudalmiddlefrontal,0.06,,,,977,1059,,0.147
ASD_meta-analysis_casevsCN,R_cuneus,-0.06,,,,977,1057,,0.177
ASD_meta-analysis_casevsCN,R_entorhinal,-0.24,,,,973,1058,,0.0
ASD_meta-analysis_casevsCN,R_fusiform,-0.19,,,,975,1059,,0.0
ASD_meta-analysis_casevsCN,R_inferiorparietal,-0.05,,,,977,1060,,0.298
ASD_meta-analysis_casevsCN,R_inferiortemporal,-0.16,,,,976,1059,,0.0
ASD_meta-analysis_casevsCN,R_isthmuscingulate,0.05,,,,976,1056,,0.294
ASD_meta-analysis_casevsCN,R_lateraloccipital,-0.02,,,,975,1056,,0.083
ASD_meta-analysis_casevsCN,R_lateralorbitofrontal,0.0,,,,977,1057,,0.9470000000000001
ASD_meta-analysis_casevsCN,R_lingual,-0.02,,,,976,1058,,0.147
ASD_meta-analysis_casevsCN,R_medialorbitofrontal,0.08,,,,977,1058,,0.063
ASD_meta-analysis_casevsCN,R_middletemporal,-0.12,,,,976,1060,,0.009000000000000001
ASD_meta-analysis_casevsCN,R_parahippocampal,-0.11,,,,974,1059,,0.019
ASD_meta-analysis_casevsCN,R_paracentral,-0.05,,,,977,1056,,0.233
ASD_meta-analysis_casevsCN,R_parsopercularis,-0.03,,,,976,1057,,0.489
ASD_meta-analysis_casevsCN,R_parsorbitalis,0.04,,,,977,1058,,0.35200000000000004
ASD_meta-analysis_casevsCN,R_parstriangularis,0.05,,,,975,1056,,0.305
ASD_meta-analysis_casevsCN,R_pericalcarine,-0.01,,,,977,1057,,0.083
ASD_meta-analysis_casevsCN,R_postcentral,-0.07,,,,973,1058,,0.10800000000000001
ASD_meta-analysis_casevsCN,R_posteriorcingulate,0.05,,,,973,1060,,0.313
ASD_meta-analysis_casevsCN,R_precentral,0.09,,,,974,1058,,0.05
ASD_meta-analysis_casevsCN,R_precuneus,-0.08,,,,977,1060,,0.08900000000000001
ASD_meta-analysis_casevsCN,R_rostralanteriorcingulate,0.01,,,,976,1056,,0.777
ASD_meta-analysis_casevsCN,R_rostralmiddlefrontal,0.11,,,,976,1060,,0.013000000000000001
ASD_meta-analysis_casevsCN,R_superiorfrontal,0.11,,,,977,1059,,0.016
ASD_meta-analysis_casevsCN,R_superiorparietal,-0.09,,,,976,1058,,0.057
ASD_meta-analysis_casevsCN,R_superiortemporal,-0.15,,,,975,1058,,0.001
ASD_meta-analysis_casevsCN,R_supramarginal,-0.09,,,,976,1056,,0.036000000000000004
ASD_meta-analysis_casevsCN,R_frontalpole,0.04,,,,975,1059,,0.37200000000000005
ASD_meta-analysis_casevsCN,R_temporalpole,-0.14,,,,972,1057,,0.001
ASD_meta-analysis_casevsCN,R_transversetemporal,-0.24,,,,977,1059,,0.0
ASD_meta-analysis_casevsCN,R_insula,-0.09,,,,976,1058,,0.045
